11822,0.9353,-0.1915,-0.2603,0.1440,452,-419,698
11831,0.9373,-0.1893,-0.2544,0.1448,434,-405,697
11838,0.9392,-0.1876,-0.2474,0.1462,400,-389,708
11847,0.9414,-0.1862,-0.2393,0.1481,361,-384,730
11855,0.9434,-0.1848,-0.2310,0.1498,329,-396,746
11864,0.9455,-0.1830,-0.2225,0.1517,305,-404,770
11873,0.9474,-0.1812,-0.2146,0.1538,311,-397,794
11880,0.9490,-0.1793,-0.2072,0.1560,316,-390,828
11888,0.9505,-0.1779,-0.2002,0.1577,343,-383,868
11897,0.9518,-0.1764,-0.1945,0.1583,339,-387,872
11905,0.9531,-0.1750,-0.1896,0.1582,340,-404,865
11914,0.9543,-0.1738,-0.1846,0.1582,339,-403,868
11922,0.9555,-0.1730,-0.1791,0.1584,315,-365,839
11930,0.9570,-0.1716,-0.1726,0.1578,284,-378,857
11939,0.9590,-0.1694,-0.1654,0.1558,249,-366,856
11947,0.9612,-0.1667,-0.1577,0.1531,192,-355,877
11956,0.9633,-0.1639,-0.1500,0.1509,169,-357,867
11964,0.9650,-0.1615,-0.1433,0.1492,187,-409,859
11972,0.9663,-0.1599,-0.1368,0.1483,188,-407,864
11981,0.9676,-0.1577,-0.1294,0.1489,152,-388,866
11989,0.9689,-0.1549,-0.1207,0.1509,134,-362,898
11998,0.9700,-0.1514,-0.1121,0.1537,141,-346,893
12006,0.9710,-0.1472,-0.1035,0.1572,147,-314,900
12014,0.9718,-0.1429,-0.0945,0.1619,175,-235,912
12022,0.9726,-0.1379,-0.0853,0.1667,196,-167,953
12031,0.9735,-0.1331,-0.0764,0.1693,254,-171,1005
12039,0.9749,-0.1294,-0.0673,0.1681,182,-248,995
12047,0.9768,-0.1255,-0.0582,0.1637,98,-287,1029
12056,0.9788,-0.1210,-0.0485,0.1580,56,-265,1047
12064,0.9808,-0.1160,-0.0387,0.1521,-16,-249,1015
12073,0.9824,-0.1117,-0.0292,0.1469,-58,-211,952
12081,0.9836,-0.1083,-0.0204,0.1426,-60,-155,888
12089,0.9847,-0.1052,-0.0123,0.1387,-70,-134,905
12098,0.9856,-0.1022,-0.0043,0.1349,-92,-166,911
12106,0.9863,-0.0993,0.0031,0.1320,-68,-163,908
12115,0.9868,-0.0965,0.0098,0.1299,-59,-132,893
12123,0.9871,-0.0944,0.0169,0.1282,-95,-136,842
12131,0.9872,-0.0929,0.0238,0.1272,-122,-132,813
12140,0.9871,-0.0927,0.0301,0.1267,-141,-119,758
12148,0.9869,-0.0937,0.0359,0.1266,-103,-126,819
12156,0.9866,-0.0948,0.0422,0.1261,-71,-111,853
12165,0.9865,-0.0961,0.0481,0.1240,-38,-87,898
12172,0.9863,-0.0975,0.0543,0.1211,-16,-14,904
12181,0.9863,-0.0992,0.0603,0.1176,-43,-85,923
12190,0.9859,-0.1024,0.0673,0.1136,-83,-160,982
12198,0.9855,-0.1042,0.0748,0.1113,-149,-135,940
12207,0.9851,-0.1060,0.0807,0.1092,-101,-184,953
12214,0.9841,-0.1089,0.0887,0.1084,-226,-115,891
12223,0.9833,-0.1101,0.0957,0.1092,-169,-146,928
12232,0.9822,-0.1119,0.1023,0.1105,-173,-156,988
12240,0.9811,-0.1141,0.1093,0.1119,-171,-165,1038
12249,0.9797,-0.1162,0.1169,0.1138,-160,-122,1060
12256,0.9783,-0.1196,0.1249,0.1140,-241,-197,988
12265,0.9768,-0.1238,0.1337,0.1124,-353,-241,883
12274,0.9754,-0.1272,0.1415,0.1110,-335,-275,886
12282,0.9741,-0.1316,0.1483,0.1088,-299,-269,946
12290,0.9722,-0.1357,0.1575,0.1074,-388,-236,865
12298,0.9704,-0.1393,0.1663,0.1064,-364,-259,889
12306,0.9685,-0.1431,0.1746,0.1055,-405,-224,860
12315,0.9663,-0.1459,0.1841,0.1057,-429,-262,877
12324,0.9637,-0.1494,0.1940,0.1065,-397,-230,959
12332,0.9609,-0.1530,0.2040,0.1077,-386,-136,1004
12340,0.9582,-0.1572,0.2137,0.1074,-454,-284,962
12348,0.9552,-0.1625,0.2233,0.1063,-539,-348,876
12357,0.9520,-0.1675,0.2329,0.1066,-529,-269,828
12366,0.9488,-0.1714,0.2430,0.1066,-581,-270,744
12374,0.9454,-0.1755,0.2534,0.1059,-589,-351,702
12382,0.9418,-0.1794,0.2639,0.1060,-607,-314,717
12390,0.9383,-0.1825,0.2739,0.1063,-609,-272,695
12399,0.9352,-0.1847,0.2827,0.1063,-600,-265,687
12407,0.9316,-0.1870,0.2925,0.1078,-591,-167,715
12416,0.9279,-0.1893,0.3020,0.1096,-615,-261,825
12424,0.9243,-0.1921,0.3105,0.1110,-675,-237,652
12432,0.9222,-0.1932,0.3159,0.1115,-634,-303,815
12441,0.9199,-0.1952,0.3218,0.1104,-689,-334,697
12449,0.9173,-0.1980,0.3276,0.1096,-702,-340,667
12457,0.9144,-0.2013,0.3340,0.1089,-671,-306,626
12465,0.9116,-0.2043,0.3398,0.1082,-679,-281,671
12474,0.9089,-0.2070,0.3459,0.1067,-678,-263,633
12482,0.9060,-0.2102,0.3521,0.1055,-682,-237,691
12491,0.9028,-0.2137,0.3584,0.1037,-704,-262,666
12499,0.8994,-0.2180,0.3650,0.1014,-728,-330,620
12507,0.8960,-0.2216,0.3721,0.0983,-750,-398,575
12516,0.8923,-0.2266,0.3784,0.0963,-759,-306,597
12524,0.8887,-0.2306,0.3848,0.0944,-773,-392,564
12533,0.8851,-0.2358,0.3904,0.0925,-786,-390,537
12541,0.8819,-0.2399,0.3955,0.0908,-799,-363,604
12549,0.8790,-0.2428,0.4006,0.0890,-792,-376,550
12558,0.8762,-0.2465,0.4048,0.0875,-788,-345,486
12566,0.8735,-0.2498,0.4087,0.0869,-772,-299,539
12575,0.8703,-0.2537,0.4131,0.0869,-789,-375,465
12583,0.8674,-0.2576,0.4170,0.0864,-800,-429,492
12591,0.8644,-0.2617,0.4204,0.0867,-794,-376,472
12599,0.8623,-0.2646,0.4229,0.0872,-796,-336,514
12608,0.8597,-0.2678,0.4260,0.0877,-828,-418,474
12617,0.8572,-0.2717,0.4285,0.0878,-838,-491,502
12625,0.8553,-0.2749,0.4302,0.0881,-841,-439,504
12632,0.8536,-0.2778,0.4316,0.0886,-846,-434,518
12641,0.8522,-0.2805,0.4326,0.0887,-850,-467,526
12649,0.8513,-0.2820,0.4333,0.0889,-864,-461,509
12658,0.8506,-0.2837,0.4336,0.0890,-860,-477,460
12666,0.8499,-0.2852,0.4341,0.0895,-859,-490,457
12674,0.8493,-0.2861,0.4343,0.0903,-857,-477,462
12683,0.8493,-0.2866,0.4338,0.0909,-859,-498,461
12691,0.8497,-0.2864,0.4331,0.0915,-863,-499,485
12700,0.8506,-0.2859,0.4316,0.0921,-862,-493,491
12708,0.8519,-0.2847,0.4297,0.0928,-856,-475,485
12716,0.8539,-0.2825,0.4270,0.0936,-850,-454,488
12725,0.8563,-0.2795,0.4238,0.0948,-838,-407,480
12733,0.8587,-0.2756,0.4209,0.0971,-825,-379,506
12742,0.8616,-0.2708,0.4175,0.1002,-838,-350,606
12750,0.8647,-0.2661,0.4133,0.1032,-832,-403,549
12758,0.8686,-0.2625,0.4067,0.1063,-830,-429,535
12766,0.8722,-0.2581,0.4009,0.1096,-810,-422,542
12775,0.8760,-0.2532,0.3945,0.1135,-802,-393,547
12783,0.8800,-0.2476,0.3879,0.1176,-793,-392,555
12791,0.8842,-0.2416,0.3806,0.1220,-783,-362,597
12800,0.8887,-0.2345,0.3730,0.1266,-773,-314,622
12808,0.8931,-0.2271,0.3655,0.1311,-760,-312,662
12817,0.8975,-0.2200,0.3577,0.1350,-748,-312,706
